concept:name,starttime,sensor,endtime,Translate01,Translate02,duration,daycase,time:timestamp
Sleep,2011-06-15 00:06:32,M021,2011-06-15 03:37:47,Bedroom,Bed,0 days 03:31:15,2011-6-15,2011-06-15 00:06:32
Bed_Toilet_Transition,2011-06-15 03:38:44,MA013,2011-06-15 03:41:22,Bathroom,Bathroom,0 days 00:02:38,2011-6-15,2011-06-15 03:38:44
Sleep,2011-06-15 03:44:50,M021,2011-06-15 08:45:56,Bedroom,Bed,0 days 05:01:06,2011-6-15,2011-06-15 03:44:50
Toilet,2011-06-15 08:46:36,MA013,2011-06-15 08:48:46,Bathroom,Bathroom,0 days 00:02:10,2011-6-15,2011-06-15 08:46:36
Morning_Meds,2011-06-15 08:48:50,MA013,2011-06-15 08:49:39,Bathroom,Bathroom,0 days 00:00:49,2011-6-15,2011-06-15 08:48:50
Dress,2011-06-15 08:51:15,MA020,2011-06-15 08:52:27,Bedroom,Bedroom,0 days 00:01:12,2011-6-15,2011-06-15 08:51:15
Read,2011-06-15 08:54:15,M021,2011-06-15 09:48:31,Bedroom,Bed,0 days 00:54:16,2011-6-15,2011-06-15 08:54:15
Toilet,2011-06-15 09:48:54,MA013,2011-06-15 09:55:42,Bathroom,Bathroom,0 days 00:06:48,2011-6-15,2011-06-15 09:48:54
Cook_Breakfast,2011-06-15 09:58:39,M007,2011-06-15 10:02:51,Kitchen,Kitchen,0 days 00:04:12,2011-6-15,2011-06-15 09:58:39
Eat_Breakfast,2011-06-15 10:02:55,M005,2011-06-15 10:26:46,DiningRoom,DiningRoom,0 days 00:23:51,2011-6-15,2011-06-15 10:02:55
Wash_Breakfast_Dishes,2011-06-15 10:26:55,M007,2011-06-15 10:28:53,Kitchen,Kitchen,0 days 00:01:58,2011-6-15,2011-06-15 10:26:55
Relax,2011-06-15 10:29:17,M004,2011-06-15 10:29:29,LivingRoom,Chair,0 days 00:00:12,2011-6-15,2011-06-15 10:29:17
Sleep_Out_Of_Bed,2011-06-15 10:35:32,MA003,2011-06-15 12:07:36,LivingRoom,Chair,0 days 01:32:04,2011-6-15,2011-06-15 10:35:32
Relax,2011-06-15 12:07:37,M004,2011-06-15 12:09:05,LivingRoom,Chair,0 days 00:01:28,2011-6-15,2011-06-15 12:07:37
Personal_Hygiene,2011-06-15 12:09:25,MA013,2011-06-15 12:13:25,Bathroom,Bathroom,0 days 00:04:00,2011-6-15,2011-06-15 12:09:25
Take_Medicine,2011-06-15 12:13:29,MA013,2011-06-15 12:14:16,Bathroom,Bathroom,0 days 00:00:47,2011-6-15,2011-06-15 12:13:29
Work,2011-06-15 12:14:20,M016,2011-06-15 12:40:37,WorkArea,Hall,0 days 00:26:17,2011-6-15,2011-06-15 12:14:20
Bathe,2011-06-15 12:40:37,MA013,2011-06-15 12:51:58,Bathroom,Bathroom,0 days 00:11:21,2011-6-15,2011-06-15 12:40:37
Groom,2011-06-15 12:52:36,MA013,2011-06-15 12:58:45,Bathroom,Bathroom,0 days 00:06:09,2011-6-15,2011-06-15 12:52:36
Toilet,2011-06-15 12:59:26,MA009,2011-06-15 13:01:16,Bathroom,Bathroom,0 days 00:01:50,2011-6-15,2011-06-15 12:59:26
Cook_Lunch,2011-06-15 13:01:40,M007,2011-06-15 13:13:02,Kitchen,Kitchen,0 days 00:11:22,2011-6-15,2011-06-15 13:01:40
Eat_Lunch,2011-06-15 13:13:50,M005,2011-06-15 13:36:20,DiningRoom,DiningRoom,0 days 00:22:30,2011-6-15,2011-06-15 13:13:50
Wash_Lunch_Dishes,2011-06-15 13:36:30,M007,2011-06-15 13:39:46,Kitchen,Kitchen,0 days 00:03:16,2011-6-15,2011-06-15 13:36:30
Sleep_Out_Of_Bed,2011-06-15 13:42:39,MA010,2011-06-15 13:42:42,LivingRoom,LivingRoom,0 days 00:00:03,2011-6-15,2011-06-15 13:42:39
Relax,2011-06-15 15:21:14,M004,2011-06-15 16:04:34,LivingRoom,LivingRoom,0 days 00:43:20,2011-6-15,2011-06-15 15:21:14
Toilet,2011-06-15 16:05:37,MA009,2011-06-15 16:07:54,Bathroom,Bathroom,0 days 00:02:17,2011-6-15,2011-06-15 16:05:37
Personal_Hygiene,2011-06-15 16:08:12,MA013,2011-06-15 16:17:41,Bathroom,Bathroom,0 days 00:09:29,2011-6-15,2011-06-15 16:08:12
Drink,2011-06-15 16:19:13,M007,2011-06-15 16:21:46,Kitchen,Kitchen,0 days 00:02:33,2011-6-15,2011-06-15 16:19:13
Personal_Hygiene,2011-06-15 16:45:43,MA013,2011-06-15 17:28:31,Bathroom,Bathroom,0 days 00:42:48,2011-6-15,2011-06-15 16:45:43
Watch_TV,2011-06-15 17:28:59,M004,2011-06-15 17:43:02,LivingRoom,LivingRoom,0 days 00:14:03,2011-6-15,2011-06-15 17:28:59
Leave_Home,2011-06-15 17:43:04,M002,2011-06-15 17:43:15,OutsideDoor,FrontDoor,0 days 00:00:11,2011-6-15,2011-06-15 17:43:04
Enter_Home,2011-06-15 17:51:26,D002,2011-06-15 17:51:38,OutsideDoor,FrontDoor,0 days 00:00:12,2011-6-15,2011-06-15 17:51:26
Drink,2011-06-15 17:53:52,M007,2011-06-15 17:54:12,Kitchen,Kitchen,0 days 00:00:20,2011-6-15,2011-06-15 17:53:52
Cook_Dinner,2011-06-15 17:55:11,M007,2011-06-15 18:01:30,Kitchen,Kitchen,0 days 00:06:19,2011-6-15,2011-06-15 17:55:11
Eat_Dinner,2011-06-15 18:01:33,M004,2011-06-15 18:13:17,LivingRoom,Chair,0 days 00:11:44,2011-6-15,2011-06-15 18:01:33
Wash_Dinner_Dishes,2011-06-15 18:13:21,M007,2011-06-15 18:14:48,Kitchen,Kitchen,0 days 00:01:27,2011-6-15,2011-06-15 18:13:21
Watch_TV,2011-06-15 18:17:54,M004,2011-06-15 18:45:46,LivingRoom,LivingRoom,0 days 00:27:52,2011-6-15,2011-06-15 18:17:54
Wash_Dinner_Dishes,2011-06-15 18:46:14,M006,2011-06-15 18:47:33,Kitchen,Kitchen,0 days 00:01:19,2011-6-15,2011-06-15 18:46:14
Dress,2011-06-15 18:51:48,MA020,2011-06-15 18:57:35,Bedroom,Bedroom,0 days 00:05:47,2011-6-15,2011-06-15 18:51:48
Personal_Hygiene,2011-06-15 18:58:56,MA013,2011-06-15 19:10:13,Bathroom,Bathroom,0 days 00:11:17,2011-6-15,2011-06-15 18:58:56
Dress,2011-06-15 19:10:36,MA020,2011-06-15 19:11:26,Bedroom,Bedroom,0 days 00:00:50,2011-6-15,2011-06-15 19:10:36
Leave_Home,2011-06-15 19:11:56,MA003,2011-06-15 19:12:46,Bedroom,Bedroom,0 days 00:00:50,2011-6-15,2011-06-15 19:11:56
Enter_Home,2011-06-15 20:41:21,D002,2011-06-15 20:41:28,OutsideDoor,FrontDoor,0 days 00:00:07,2011-6-15,2011-06-15 20:41:21
Dress,2011-06-15 20:43:12,MA020,2011-06-15 20:45:08,Bedroom,Bedroom,0 days 00:01:56,2011-6-15,2011-06-15 20:43:12
Work_At_Table,2011-06-15 20:57:24,M005,2011-06-15 21:02:54,DiningRoom,DiningRoom,0 days 00:05:30,2011-6-15,2011-06-15 20:57:24
Cook,2011-06-15 21:05:10,M007,2011-06-15 21:09:47,DiningRoom,DiningRoom,0 days 00:04:37,2011-6-15,2011-06-15 21:05:10
Eat,2011-06-15 21:10:09,M004,2011-06-15 21:14:57,LivingRoom,Chair,0 days 00:04:48,2011-6-15,2011-06-15 21:10:09
Watch_TV,2011-06-15 21:20:48,M004,2011-06-15 21:43:01,LivingRoom,Chair,0 days 00:22:13,2011-6-15,2011-06-15 21:20:48
Wash_Dishes,2011-06-15 21:43:21,M007,2011-06-15 21:48:08,Kitchen,Kitchen,0 days 00:04:47,2011-6-15,2011-06-15 21:43:21
Watch_TV,2011-06-15 21:48:29,M004,2011-06-15 22:42:55,LivingRoom,Chair,0 days 00:54:26,2011-6-15,2011-06-15 21:48:29
Personal_Hygiene,2011-06-15 22:54:04,MA013,2011-06-15 23:19:40,Bathroom,Bathroom,0 days 00:25:36,2011-6-15,2011-06-15 22:54:04
Sleep,2011-06-15 23:20:09,M021,2011-06-15 23:59:59,Bedroom,Bed,0 days 00:39:50,2011-6-15,2011-06-15 23:20:09
Sleep,2011-06-16 00:00:00,M021,2011-06-16 07:00:26,,,0 days 07:00:26,2011-6-16,2011-06-16 00:00:00
Toilet,2011-06-16 07:00:53,MA013,2011-06-16 07:04:24,Bathroom,Bathroom,0 days 00:03:31,2011-6-16,2011-06-16 07:00:53
Morning_Meds,2011-06-16 07:04:25,MA013,2011-06-16 07:05:10,Bathroom,Bathroom,0 days 00:00:45,2011-6-16,2011-06-16 07:04:25
Read,2011-06-16 07:07:12,MA020,2011-06-16 08:01:27,Bedroom,Bed,0 days 00:54:15,2011-6-16,2011-06-16 07:07:12
Cook_Breakfast,2011-06-16 08:02:39,M007,2011-06-16 08:04:14,Kitchen,Kitchen,0 days 00:01:35,2011-6-16,2011-06-16 08:02:39
Eat_Breakfast,2011-06-16 08:04:17,M005,2011-06-16 08:11:34,DiningRoom,DiningRoom,0 days 00:07:17,2011-6-16,2011-06-16 08:04:17
Wash_Breakfast_Dishes,2011-06-16 08:23:39,M006,2011-06-16 08:27:05,Kitchen,Kitchen,0 days 00:03:26,2011-6-16,2011-06-16 08:23:39
Bathe,2011-06-16 08:29:58,MA013,2011-06-16 08:40:33,Bathroom,Bathroom,0 days 00:10:35,2011-6-16,2011-06-16 08:29:58
Groom,2011-06-16 08:40:45,MA013,2011-06-16 08:49:27,Bathroom,Bathroom,0 days 00:08:42,2011-6-16,2011-06-16 08:40:45
Dress,2011-06-16 08:49:30,MA020,2011-06-16 08:53:48,Bedroom,Bedroom,0 days 00:04:18,2011-6-16,2011-06-16 08:49:30
Personal_Hygiene,2011-06-16 08:53:50,MA013,2011-06-16 09:19:46,Bathroom,Bathroom,0 days 00:25:56,2011-6-16,2011-06-16 08:53:50
Dress,2011-06-16 09:19:48,MA020,2011-06-16 09:23:51,Bedroom,Bedroom,0 days 00:04:03,2011-6-16,2011-06-16 09:19:48
Leave_Home,2011-06-16 09:25:33,MA003,2011-06-16 09:26:26,OutsideDoor,FrontDoor,0 days 00:00:53,2011-6-16,2011-06-16 09:25:33
Enter_Home,2011-06-16 12:53:43,D002,2011-06-16 12:54:05,LivingRoom,LivingRoom,0 days 00:00:22,2011-6-16,2011-06-16 12:53:43
Cook_Lunch,2011-06-16 12:56:22,M006,2011-06-16 13:01:43,Kitchen,Kitchen,0 days 00:05:21,2011-6-16,2011-06-16 12:56:22
Toilet,2011-06-16 13:03:16,MA009,2011-06-16 13:03:48,Bathroom,Bathroom,0 days 00:00:32,2011-6-16,2011-06-16 13:03:16
Cook_Lunch,2011-06-16 13:04:01,M007,2011-06-16 13:09:17,Kitchen,Kitchen,0 days 00:05:16,2011-6-16,2011-06-16 13:04:01
Eat_Lunch,2011-06-16 13:10:02,M005,2011-06-16 13:26:11,DiningRoom,DiningRoom,0 days 00:16:09,2011-6-16,2011-06-16 13:10:02
Wash_Lunch_Dishes,2011-06-16 13:26:18,M006,2011-06-16 13:27:05,Kitchen,Kitchen,0 days 00:00:47,2011-6-16,2011-06-16 13:26:18
Work,2011-06-16 13:36:00,MA014,2011-06-16 13:42:17,WorkArea,WorkArea,0 days 00:06:17,2011-6-16,2011-06-16 13:36:00
Sleep_Out_Of_Bed,2011-06-16 13:44:57,M004,2011-06-16 14:45:17,LivingRoom,LivingRoom,0 days 01:00:20,2011-6-16,2011-06-16 13:44:57
Toilet,2011-06-16 14:45:32,MA013,2011-06-16 14:51:45,Bathroom,Bathroom,0 days 00:06:13,2011-6-16,2011-06-16 14:45:32
Leave_Home,2011-06-16 14:56:35,MA003,2011-06-16 14:57:03,OutsideDoor,FrontDoor,0 days 00:00:28,2011-6-16,2011-06-16 14:56:35
Enter_Home,2011-06-16 16:13:13,D002,2011-06-16 16:13:23,OutsideDoor,FrontDoor,0 days 00:00:10,2011-6-16,2011-06-16 16:13:13
Cook,2011-06-16 16:28:51,M007,2011-06-16 16:32:01,Kitchen,Kitchen,0 days 00:03:10,2011-6-16,2011-06-16 16:28:51
Eat,2011-06-16 16:32:05,M004,2011-06-16 16:36:50,LivingRoom,Chair,0 days 00:04:45,2011-6-16,2011-06-16 16:32:05
Relax,2011-06-16 16:39:26,M004,2011-06-16 17:10:45,LivingRoom,Chair,0 days 00:31:19,2011-6-16,2011-06-16 16:39:26
Leave_Home,2011-06-16 17:10:46,MA003,2011-06-16 17:11:54,OutsideDoor,FrontDoor,0 days 00:01:08,2011-6-16,2011-06-16 17:10:46
Enter_Home,2011-06-16 17:18:07,D002,2011-06-16 17:18:31,LivingRoom,LivingRoom,0 days 00:00:24,2011-6-16,2011-06-16 17:18:07
Cook_Dinner,2011-06-16 17:20:08,M007,2011-06-16 17:28:27,Kitchen,Kitchen,0 days 00:08:19,2011-6-16,2011-06-16 17:20:08
Relax,2011-06-16 17:28:33,M004,2011-06-16 17:39:53,LivingRoom,LivingRoom,0 days 00:11:20,2011-6-16,2011-06-16 17:28:33
Cook_Dinner,2011-06-16 17:39:55,M007,2011-06-16 17:40:19,Kitchen,Kitchen,0 days 00:00:24,2011-6-16,2011-06-16 17:39:55
Relax,2011-06-16 17:40:22,M004,2011-06-16 18:21:42,LivingRoom,Chair,0 days 00:41:20,2011-6-16,2011-06-16 17:40:22
Cook_Dinner,2011-06-16 18:21:55,M007,2011-06-16 18:33:54,Kitchen,Kitchen,0 days 00:11:59,2011-6-16,2011-06-16 18:21:55
Eat_Dinner,2011-06-16 18:34:18,M005,2011-06-16 18:54:17,DiningRoom,DiningRoom,0 days 00:19:59,2011-6-16,2011-06-16 18:34:18
Wash_Dinner_Dishes,2011-06-16 18:54:20,M007,2011-06-16 18:57:09,Kitchen,Kitchen,0 days 00:02:49,2011-6-16,2011-06-16 18:54:20
Watch_TV,2011-06-16 18:58:38,M004,2011-06-16 19:08:10,LivingRoom,LivingRoom,0 days 00:09:32,2011-6-16,2011-06-16 18:58:38
Drink,2011-06-16 19:09:00,M007,2011-06-16 19:09:45,Kitchen,Kitchen,0 days 00:00:45,2011-6-16,2011-06-16 19:09:00
Watch_TV,2011-06-16 19:10:24,M004,2011-06-16 20:11:12,LivingRoom,LivingRoom,0 days 01:00:48,2011-6-16,2011-06-16 19:10:24
